GENERIC NAME,BRAND NAME
ALGINIC ACID+MAGNESIUM CARB. 313/63 MG TAB,GAVISCON ES
ALLOPURINOL 100 MG TAB,ZYLOPRIM
ALLOPURINOL 200 MG TAB,ZYLOPRIM
ALLOPURINOL 300 MG TAB,ZYLOPRIM
ALPRAZOLAM 0.25 MG TAB,XANAX
ALPRAZOLAM 0.5 MG TAB,XANAX
ALPRAZOLAM 1 MG TAB,XANAX (100s)
ALPRAZOLAM 2 MG TAB,XANAX
ALPROSTADIL INJ 20 MCG/ML PFS,CAVERJECT
ALPROSTADIL INJ 500 MCG/ML AMP,PROSTIN VR
ALTEPLASE INJ 100 MG VIAL,ACTIVASE
ALTEPLASE INJ 2 MG VIAL,CATHFLO
ALTEPLASE INJ 2 MG/2 ML PFS,ACTIVASE
ALTEPLASE INJ 50 MG VIAL,ACTIVASE
ALUM POTASSIUM POWDER 100 GM BTL,
ALUMINUM ACETATE 5% SOLN 475 ML BTL,
ALUMINUM HYDROXIDE 600 MG TAB,AMPHOJEL
ALUMINUM HYDROXIDE GEL SUSP 320 MG/5 ML 425 ML BTL,AMPHOJEL
ALUMINUM POTASSIUM SULFATE POWDER 500 GM BTL,ALUM POTASSIUM
ALUMINUM+MAGNESIUM HYDROX. 200/200 MG CHEW TAB,GELUSIL
ALUMINUM+MAGNESIUM HYDROX. SUSP 350 ML BTL,ALMAGEL/DIOVOL/MAALOX
ALUMINUM+MAGNESIUM+SIMETHICONE LIQ 350 ML BTL,ALMAGEL PLUS
AMANTADINE 100 MG CAP,ENDANTADINE
AMANTADINE SYRUP 50 MG/5 ML 500 ML BTL,SYMMETREL
AMIKACIN DILUTE INJ 5 MG/ML  10 ML VIAL,AMIKIN
AMIKACIN INJ 250 MG/ML 2 ML VIAL,AMIKIN
AMILORIDE 5 MG TAB,MIDAMOR
AMILORIDE+HYDROCHLOROTHIAZIDE 5/50 MG TAB,MODURET
AMINO ACIDS 10% 1000 ML BAG [AMINOSYN-PF 10%],AMINOSYN-PF 10%
AMINO ACIDS 10%/no LYTES 250 ML BAG,TRAVASOL
AMINO ACIDS 10%/no LYTES 3000 ML BAG,TRAVASOL
AMINO ACIDS 10%+D40W 1:1 1000 ML,TRAVASOL 10%/D40W
AMINO ACIDS 10%+LYTES 1000 ML BAG,TRAVASOL
AMINO ACIDS 3%+D10W/no LYTES 300 ML BAG,STARTER TPN
AMINO ACIDS 3%+D10W+LYTES 300 ML BAG,STANDARD TPN
AMINO ACIDS 4.25%+D10W/no LYTES 1000 ML BAG,TRAVASOL/DEXTROSE
"AMINO ACIDS 4.25%+D10W+LYTES 1,000 ML BAG",TRAVASOL 4.25%/ELEC/D10W
AMINO ACIDS 4.25%+D25W/no LYTES 1000 ML BAG,TRAVASOL 4.25%/D25W
"AMINO ACIDS 4.25%+D25W+LYTES 1,000 ML BAG",TRAVASOL 4.25%/ELEC/D25W
"AMINO ACIDS 5%+D10W/no LYTES 1,000 ML BAG",TRAVASOL 5%/D10W CLINIMIX
"AMINO ACIDS 5%+D10W/no LYTES 2,000 ML BAG",TRAVASOL 5%/D10W
"AMINO ACIDS 5%+D10W+LYTES 1,000 ML BAG",TRAVASOL 5%/ELEC/D10W
"AMINO ACIDS 5%+D16.6W/no LYTES 1,500 ML BAG",TRAVASOL 5%/D16W
AMINO ACIDS 5%+D16.6W/no LYTES 1000 ML DUPLEX BAG,TRAVASOL 5%/D16W
"AMINO ACIDS 5%+D16.6W/no LYTES 2,000 ML BAG",TRAVASOL 5%/D16W
"AMINO ACIDS 5%+D16.6W+LYTES 1,000 ML BAG",TRAVASOL 5%/ELEC/D16W
AMINO ACIDS 5%+D16.6W+LYTES 2000 ML DUPLEX BAG,TRAVASOL 5%/ELEC/D16W
